komentar,timestamp,sentiment
"@mapleavess:doa pas Lailatul Qadar nambah, ""Ya Allah, selamatkan negara ini dari pemimpin dan orang-orang yang dzalim""",2025-03-21 05:23:30+00:00,negatif
welcome pemerintahan korut😮‍💨,2025-03-20 21:44:35+00:00,positif
"Sy penasaran nunggu poin RUUnya, malah gak keluar poin poinnya 😭",2025-03-20 05:21:14+00:00,negatif
Jaman ORBA Keluar Malam Aman.,2025-03-20 14:04:41+00:00,negatif
mana Mahasiswa?,2025-03-20 13:56:34+00:00,negatif
gua yang gengster nyimak ae 🗿,2025-03-18 08:06:21+00:00,positif
kali ini kalo RUU TNI di sahkan mending ngaku warga malay aja dah🗿,2025-03-18 07:14:03+00:00,negatif
barusan berita ladang di gunung bromo sekarang ruu tni,2025-03-18 22:48:13+00:00,positif
udah di sah in,2025-03-20 06:30:52+00:00,negatif
terserah kalian mau apa. kami masih ada tuhan diatas. manusia hanya dibatas manusia saja.,2025-03-20 16:10:07+00:00,negatif
dari dpr untuk dpr oleh dpr🥰,2025-03-18 14:18:48+00:00,positif
UDAH MUAKKK PASRAH BNGT TAU GITU NGGAK LAHIR DI SINI,2025-03-20 21:07:04+00:00,negatif
minta baju baru mala dikasi orde baru,2025-03-20 21:06:24+00:00,netral
BARISAN DUKUNG RUU TNI🖤🖤🖤🖤🖤,2025-03-18 16:31:27+00:00,positif
udh tau indo udh gelap makin gelap🗿,2025-03-20 21:46:28+00:00,negatif
cie pada nungguin gua 🗿,2025-03-19 21:51:39+00:00,netral
yg nolak akun² bot smua😂😂😂,2025-03-20 06:25:19+00:00,negatif
takut bngt laut bercerita season 2,2025-03-18 07:20:32+00:00,negatif
untuk saat ini mmang hanya TNI yg msh bisa dipercaya...,2025-03-18 06:51:19+00:00,netral
menuju konoha bubar 2030,2025-03-18 06:49:40+00:00,positif
sakit ni negara.....,2025-03-20 13:26:02+00:00,negatif
"FIKS GW HARUS PINDAH NEGARA, GA BISA DI INDO TRS 😔😔",2025-03-20 21:23:36+00:00,negatif
nah ini nih yang gua cari. dia ngejelasin semuanya gak kayak vt-vt orang lain,2025-03-20 08:40:12+00:00,negatif
ke ulang lagi kah tragedi Trisakti 12 mei 1998💀,2025-03-21 10:41:58+00:00,negatif
RAKYAT BERSAMA TNI!!,2025-03-18 05:22:38+00:00,positif
negara apa ini bejir,2025-03-20 20:38:37+00:00,negatif
orde baru versi berwarna bjir udah gak hitam putih lagi😭,2025-03-20 21:56:17+00:00,negatif
"skarang sudah beda era, beda juga pemimpin nya, rakyat juga sudah pintar"".. liat juga dari pandangan sebaliknya gitu loh",2025-03-18 11:26:55+00:00,negatif
"guys, sebenarnya ini bagus buat negara kita. kalau kalian baca buku Ray Dalio, disitu dijelaskan salah satu cara untuk membuat negara maju adalah dengan mempersatukan Pemerintah, Ekonomi, dan Militer. Cara ini yang dipakai oleh Amerika after WW2 dan juga China.",2025-03-20 16:33:33+00:00,netral
TNI KUAT BERSAMA SAMBUNG AYAM,2025-03-18 06:19:38+00:00,positif
dukung RUU TNI,2025-03-20 01:07:05+00:00,positif
Tolak RUU TNI,2025-03-19 22:26:33+00:00,positif
kami butuh vigilante,2025-03-18 09:18:34+00:00,netral
Tetap dukung RUU TNi🤲,2025-03-18 10:58:05+00:00,positif
"bang , jujur gua ga dapet apa intinya yg lu jelasin .. terlalu berat kata katanya 🙏🏽🥺",2025-03-18 21:30:08+00:00,negatif
"klo kita bukan kriminal ,kenapa harus takut.",2025-03-20 07:52:02+00:00,negatif
"Arahan Pangdam saat briefing dg para Danrem dan Asisten Kodam :
1. RUU TNI
viralkan berita ttg RUU TNI
jgn sampe ada Demo di wilayah yg menentang RUU TNI
galang dg humanis agar banyak yg mendukung",2025-03-20 02:34:30+00:00,negatif
ruu tni bakal lebih teratur,2025-03-18 06:35:40+00:00,positif
"Apapun beritanya, nyari uang jga sendiri'",2025-03-18 05:30:28+00:00,negatif
"buat yg masih bingung,gini lo..
kan RUU TNI itu pemerintahan kita jadi kaya orde baru
nah di vt udh dijelasin gimana orde baru itu
jadi intinya kalau RUU TNI disahkan",2025-03-18 08:35:26+00:00,negatif
"klo bikin negara maju? ya ga masalah, lieur soalna😂",2025-03-18 23:45:38+00:00,negatif
"Bang, bahas ttg perampasan aset rakyat",2025-03-18 05:18:31+00:00,positif
"yg gak sepakat antek antek asing😂, buktinya jaman soeharto negara tentram damai kok😂😂",2025-03-20 02:54:55+00:00,negatif
eh klo TNI kta nya bela rakyat ngpain takut sii,2025-03-19 09:49:53+00:00,negatif
kau bahas ruu tni atau orde baru bos?,2025-03-18 05:38:17+00:00,negatif
"MASIH YAKIN REVISI UU TNI ??
SALAM ORDE BARU 😂😂",2025-03-18 06:54:48+00:00,negatif
Terus RUU TNI itu apaan bro? lu malah jelasin orde baru...,2025-03-18 06:13:22+00:00,negatif
"gadak itu semua, jalan kan RUU TNI, balikan dwifungsi abri",2025-03-18 15:32:39+00:00,negatif
pindah negara aja lah kalo ruutni di sah kan,2025-03-26 19:41:29+00:00,negatif
pindah ke jerman yok😊🙏🏻,2025-03-25 17:15:18+00:00,negatif
"#pindah aja dulu
.
ini baru mantap👆",2025-03-25 12:50:17+00:00,negatif
#TolakRevisiUUTNI,2025-04-27 23:14:43+00:00,negatif
bang q pengen pindah ke jepang 🥰🥰,2025-03-25 18:47:52+00:00,negatif
kukira bersama rakyat ternyata dengan pejabat😭😭,2025-03-25 09:24:38+00:00,positif
smpe ad keinginan sendiri mau pindah negara jjr🥺,2025-03-26 22:50:58+00:00,negatif
apakah kita akan melawan negara sendiri?,2025-03-26 21:14:58+00:00,negatif
"nggak heboh lagi, sudah adem ayem",2025-04-21 13:35:53+00:00,negatif
tolak revisi ruu tni ✊🏻,2025-03-27 00:21:04+00:00,positif
sumpah cuman nanya gunanya presiden apa?.,2025-03-25 12:50:34+00:00,negatif
"di RUU TNI masih ada polisi gak? kalo adanya cuma TNI,, hmmm...",2025-04-05 13:08:47+00:00,negatif
"bener sih, atasan tni itu tidak bisa di bantah oleh bawahan, mau bagaimana pun perintahnya tetap bawahan mengikuti",2025-03-29 00:53:59+00:00,negatif
coba gw tnya dari segi apa klian gak setuju RUU TNI ini disahkan? coba tolong bales ya..,2025-04-01 06:43:44+00:00,negatif
:#cabutUUTNI #tolakRUUPolri #Indonesiagelap #sayonarademokrasi,2025-03-29 10:27:06+00:00,negatif
"kita tolak, tapi tetap diresmikan juga, gimn tu",2025-03-26 00:44:46+00:00,netral
TOLAK PLS,2025-03-26 23:35:06+00:00,netral
takutnya sosial media dihilangkan tiktok dihilangkan,2025-03-26 23:28:34+00:00,negatif
kalau aku nikmati aja asal kan hidup dan bahagia,2025-03-26 07:11:29+00:00,positif
"aku baru liat draft tuntutan RUU TNI. yang ada di tempo, detik, sama cnn itu bener kah? kok beberapa poin agak kurang masuk ya?. ada yang bisa jelasin kah?",2025-03-25 20:16:33+00:00,negatif
masih ga paham bjir🗿,2025-03-25 15:18:24+00:00,negatif
perjalanan gw masih 3 tahun buat masuk LPK gmn yak kedepannya,2025-03-26 05:48:02+00:00,positif
"bukannya maju negara kita, malah mundur lgi😭",2025-03-26 11:13:28+00:00,negatif
reformasi gak nih😹,2025-03-26 16:05:13+00:00,netral
udah paling bener ke kamboja🤓,2025-03-25 16:59:48+00:00,positif
dulu yang pada minta Petrus balik mana yaaaaa😹😹,2025-03-25 22:32:39+00:00,negatif
gw takut di jumshot sg2🗿,2025-03-26 23:02:41+00:00,negatif
pantesan bibi gue betah di Malaysia,2025-03-26 21:28:33+00:00,negatif
prabowo gimana sihh😑😂😂😂,2025-03-26 21:23:21+00:00,positif
kita menghormati pak soekarno,2025-03-30 08:13:02+00:00,positif
orde baru season 2,2025-03-29 02:23:53+00:00,positif
"menurutku era orde baru malah lebih enak, pendidikan murah, bahan pangan murah, bbm murah, banyak hal penting buat hidup rakyat disubsidi pemerintah meski yg namanya KKN juga ada sih",2025-03-28 05:47:41+00:00,negatif
Tolak RUU tni,2025-03-28 04:37:01+00:00,positif
makin takut tinggal disini,2025-03-27 23:35:55+00:00,negatif
yang dukung RUU TNI anak Kntil 😹,2025-03-27 21:33:27+00:00,positif
bang kita harus revolusi dan demokrasi dan kita tidak menderita,2025-03-27 21:24:02+00:00,positif
semngt ruu tni,2025-04-02 16:43:01+00:00,netral
"itu di tumpangi
masa perampasan aset di dueumin",2025-04-01 04:18:09+00:00,netral
negara selain indo yang bisa bahasa jawa mana sih 😅,2025-03-29 07:58:20+00:00,positif
kacau,2025-03-27 15:21:24+00:00,negatif
mending kaya orde baru,2025-04-06 01:32:02+00:00,netral
otw luar negri ini mah,2025-03-26 01:55:13+00:00,negatif
ohh mau balik ke orde baru?,2025-04-18 09:42:31+00:00,negatif
negara macam apa ini,2025-04-13 01:07:00+00:00,positif
Myanmar juga jadi bukti,2025-03-27 03:48:09+00:00,positif
"dukung ruu perampasan aset 🔥
yng demo blike:mana duitnya",2025-04-14 15:54:58+00:00,netral
DUKUNG RUU TNI,2025-03-27 00:02:28+00:00,positif
Billy posting ulang ? 🗿,2025-03-27 22:43:52+00:00,negatif
gas terus prabowo,2025-03-28 05:49:36+00:00,positif
takut lagi velocity an tiba' ditangkap,2025-03-26 16:31:16+00:00,negatif
nuril nama kakekku weh😔,2025-03-28 06:02:30+00:00,negatif
mamat gunshop,2025-03-25 12:55:54+00:00,positif
riset lgi deh,2025-03-31 01:43:16+00:00,netral
"bg masih aman 🗿?
takut udah ilang bg 🗿?",2025-03-27 12:29:43+00:00,negatif
"militer yg msuk dlm sklh,kementrian,kebijakan sipil,siapa yg mengawasi mereka? kekuasaan modern bkn lewat senjata tpi dgn distribusi posisi.klo militer mengambil alih fungsi sipil bakal ada bio-power",2025-04-10 04:50:53+00:00,positif
kaya petrus lagi kah?,2025-04-17 00:47:48+00:00,negatif
"baru satu menit udah 1,2 juta like njir",2025-03-26 00:42:31+00:00,negatif
izin pindah negara🙏,2025-03-27 09:43:27+00:00,negatif
salah siapa milih nomer...🗿,2025-03-25 14:08:07+00:00,positif
bisa beli senjata ga,2025-04-18 09:15:19+00:00,positif
indonesia gelap,2025-04-09 04:58:45+00:00,negatif
indonesia harus negara demokrasi,2025-03-26 04:08:56+00:00,negatif
"bagus padahalmah UU TNI, biar rakyatnya tertib, biar kaya kerajaan yekan",2025-03-27 16:19:56+00:00,netral
oke gw mau pindah negara🚶🏻‍♂️,2025-03-28 11:22:14+00:00,netral
kita mau berlindung kesiapa lagi,2025-03-28 10:42:46+00:00,negatif
"terserah deh, yg penting gue tetep kejar revisi proposal",2025-03-25 10:11:24+00:00,negatif
kyk nya sekolah bawa scar cupid sama SG riper,2025-03-28 10:14:03+00:00,negatif
aman ada akhirat bro disitu adil 😊,2025-03-29 12:11:13+00:00,negatif
mau ngetik aja takut,2025-03-29 03:01:54+00:00,negatif
TNI bersama rakyat 😇😊,2025-03-25 15:48:10+00:00,positif
yg nolak juga anak2 abah,2025-03-25 15:52:28+00:00,negatif
gamau RUU TNI!,2025-04-01 17:02:37+00:00,positif
indonesia berasa korea utara,2025-03-25 15:16:39+00:00,negatif
mumpung dekat Malaysia pindah ahh negara apa²an ini,2025-03-25 09:47:26+00:00,negatif
98 tahun kelahiran ku,2025-03-27 03:46:06+00:00,positif
Ya Allah kenapa aku WNI,2025-03-25 22:02:41+00:00,positif
Ramalan the simsomps 2030 indonesia milik Singapura,2025-03-25 18:49:16+00:00,positif
RUU TNI pengalihan isu untuk RUU POLRI Dengan 27 pasal nya,2025-04-22 10:53:38+00:00,positif
tolak RUU TNI,2025-03-29 18:53:46+00:00,positif
"saya belum pernah seperti era pada tahun itu, fix deal aja",2025-04-02 12:04:37+00:00,positif
gua gak setuju!!@@@,2025-04-02 08:55:44+00:00,negatif
hidup uutni harus maju,2025-03-26 01:44:55+00:00,positif
tau ahh cape dah,2025-03-25 09:06:03+00:00,negatif
mantep tni👍👍👍👍,2025-04-02 03:53:22+00:00,positif
dukung 💯% RUU TNI,2025-03-30 03:10:50+00:00,negatif
parah sih kacau kacau,2025-03-25 15:53:59+00:00,negatif
"bukan larangan tuhan,trobos aja bro🔥🔥🔥",2025-03-25 13:37:53+00:00,negatif
@nylawww @ciyya,2025-03-25 21:19:22+00:00,positif
😂,2025-03-28 08:37:48+00:00,positif
😳,2025-04-07 15:55:20+00:00,positif
🥰,2025-04-04 08:46:48+00:00,positif
"baca di buku tentang masa orde baru aja ketar ketir, ini disuruh ngadepin😞😞",2025-03-20 21:26:32+00:00,negatif
